flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label_binary,label_binary_name,label_8class,label_8class_name
-0.38661388,-1.341051,-0.49185735,-0.38661388,0.35683432,0.68812597,0.39778087,-0.22433367,1.1830305,-0.49024794,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,0.85472226,0.45012173,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,-1.4472755,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,0.59474653,-0.6642221,-0.61066014,-0.3538332,-0.6255204,0.5927376,-0.3074217,0.676126,1.0241866,-0.62552035,-0.62552047,-0.52702945,0.676126,1,Malicious,2,DDoS
-0.5013338,1.4094859,-0.49185735,-0.5013338,2.1136725,1.9182539,0.37195587,-0.22433367,1.1830305,-0.49024794,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,0.6857307,0.98295426,-0.19429077,-0.5058416,-0.38738528,2.750225,-0.04476615,-0.072895825,-0.17034765,-0.09756185,-1.4472755,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.24074057,-0.8978837,-0.9171511,-0.7835957,-0.88192093,-0.24270344,-0.3120789,0.3803925,-0.014092426,-0.8819209,-0.881921,-0.57204115,0.3803925,1,Malicious,4,Mirai
-0.24371791,1.4094859,-0.49185735,-0.24371791,0.75453025,1.0436602,0.6506666,-0.22433367,-0.8452867,-0.49024794,-0.50303394,-0.7924536,-0.09977612,9.964263,-0.33609003,-0.36443144,0.18370545,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,0.6909535,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,1.7454314,-0.35637727,-0.6297094,-0.49935183,-0.5651218,1.747176,-0.30940732,2.5784118,1.9380983,-0.56512177,-0.5651218,-0.51128143,2.5784118,1,Malicious,2,DDoS
-0.5367046,0.2769119,1.6944783,-0.5367046,1.2483814,1.2975848,0.2936771,-0.22433367,1.1830305,-0.49024794,1.9879376,1.2619036,-0.09977612,-0.10035866,0.057405364,-0.06266071,-0.3491271,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,-1.4472755,1.6448903,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.48905215,-0.9071609,-0.7757728,-0.70260715,-0.682055,-0.49082875,-0.31067288,-0.38691604,-0.5943097,-0.68205494,-0.68205506,-0.53999245,-0.38691604,1,Malicious,4,Mirai
-0.547873,-1.341051,-1.4856462,-0.547873,-0.6430833,-0.6504892,-0.61582667,-0.22433367,1.1830305,-0.49024794,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,-0.3523606,-0.48233527,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,0.6909535,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.5780247,-0.78544825,-0.7227448,-0.74965024,-0.6989311,-0.57625276,-0.28538254,-0.57874316,-1.1066494,-0.6989311,-0.6989312,-0.5435289,-0.57874316,1,Malicious,5,Recon
0.5783912,0.2769119,-0.49185735,0.5783912,-0.7576727,-0.73776835,-0.64287686,-0.22433367,-0.8452867,-0.49024794,1.9879376,-0.7924536,-0.09977612,-0.10035866,-0.33609003,-0.36443144,-0.3491271,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,-1.4472755,1.6448903,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.28878647,0.13878064,-0.44804668,-0.34871194,-0.5425981,-0.2908676,-0.100329764,-0.27501687,-0.10267324,-0.54259807,-0.5425982,-0.50490654,-0.27501687,1,Malicious,6,Spoofing
-0.47940552,1.4094859,1.6944783,-0.47940552,1.1464809,0.9396357,1.806776,-0.22433367,1.1830305,-0.49024794,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,0.50466824,0.18370545,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,0.6909535,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.25132203,-0.9071609,-0.8034506,-0.78080463,-0.8230117,-0.25210518,-0.31054404,0.3404285,-0.033035044,-0.82301164,-0.8230118,-0.56482774,0.3404285,1,Malicious,3,DoS
-0.38376847,-0.37027323,1.6944783,-0.38376847,1.0944746,1.1376126,0.9122612,-0.22433367,1.1830305,2.0397842,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,2.0618052,2.0486195,2.5307329,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,0.6909535,1.6448903,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,2.3018506,0.41459882,-0.16092177,-0.027080249,-0.27564734,2.3009613,-0.31043747,1.5153698,2.2959054,-0.27564728,-0.27564734,-0.40857288,1.5153698,1,Malicious,2,DDoS
1.5006622,-0.37027323,-0.49185735,1.5006622,-0.7996056,-0.77014637,-0.70612824,-0.22433367,-0.8452867,-0.49024794,-0.50303394,1.2619036,-0.09977612,-0.10035866,-0.31422916,-0.36443144,-0.48233527,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,0.6909535,-0.60794324,-0.14584796,-0.25277355,-0.27890018,0.13991395,-0.10504629,-0.5528978,1.3935907,2.2538283,1.5831752,1.8781308,-0.55348283,14.900825,-0.57874316,-0.87479496,1.8781309,1.8781308,1.770543,-0.57874316,0,Benign,0,Benign
-0.47522023,1.4094859,-0.49185735,-0.47522023,1.5361348,0.7068356,1.5799314,-0.22433367,1.1830305,-0.49024794,-0.50303394,-0.7924536,-0.09977612,-0.10035866,-0.33609003,1.011643,0.18370545,-0.19429077,-0.5058416,-0.38738528,-0.36360657,-0.04476615,-0.072895825,-0.17034765,-0.09756185,-1.4472755,1.6448903,-0.14584796,-0.25277355,3.5855124,0.13991395,-0.10504629,-0.01592998,-0.82620454,-0.6831574,-0.6902274,-0.67997617,-0.01578271,-0.31133598,0.596198,0.3348637,-0.67997605,-0.67997617,-0.53954625,0.596198,1,Malicious,4,Mirai
